City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Gurbuki,RU,42.6113,47.6007,64.78,56,21,5.55,few clouds
302,Garwolin,PL,51.8975,21.6147,54.72,83,100,4.0,overcast clouds
303,Trelleborg,SE,55.3751,13.1569,55.98,79,19,12.28,few clouds
304,Khandbari,NP,27.3747,87.2039,70.2,93,100,0.65,overcast clouds
305,Kindu,CD,-2.95,25.95,72.63,89,7,3.04,clear sky
306,Busembatia,UG,0.7697,33.6131,65.57,86,89,3.62,light rain
307,Salym,RU,60.0625,71.4789,50.22,74,94,5.03,overcast clouds
308,Santa Marta,CO,11.2408,-74.199,88.9,71,100,1.99,overcast clouds
309,Leo,BF,11.1,-2.1,72.86,90,83,3.83,broken clouds
310,Savannah Bight,HN,16.45,-85.85,83.55,76,85,19.91,overcast clouds
311,Agadez,NE,19.75,10.25,94.71,13,53,8.66,broken clouds
312,Ust-Kan,RU,50.9276,84.761,28.36,98,39,1.36,scattered clouds
313,Rocha,UY,-34.4833,-54.3333,68.25,57,0,12.95,clear sky
314,Butembo,CD,0.15,29.2833,58.03,90,10,3.58,clear sky
315,Talcahuano,CL,-36.7167,-73.1167,55.08,94,75,20.71,broken clouds
316,Albany,US,42.6001,-73.9662,70.95,57,16,9.35,few clouds
317,Sorada,IN,19.75,84.4333,78.87,81,94,3.11,overcast clouds
318,Bilma,NE,18.6853,12.9164,95.63,16,5,3.49,clear sky
319,Halifax,CA,44.6453,-63.5724,64.47,49,3,18.99,clear sky
320,Amos,CA,48.5669,-78.1162,61.18,38,1,4.43,clear sky
321,Freetown,SL,8.484,-13.2299,79.0,83,100,8.39,overcast clouds
322,Santo Domingo,DO,18.5001,-69.9886,83.03,86,75,5.01,broken clouds
323,Kudahuvadhoo,MV,2.6708,72.8944,81.3,68,9,4.03,clear sky
324,Itacare,BR,-14.2775,-38.9967,77.14,64,0,6.17,clear sky
325,Moussoro,TD,13.6408,16.4901,79.83,75,100,15.32,light rain
326,Kargasok,RU,59.0556,80.8572,43.75,91,98,4.18,overcast clouds
327,Santa Cruz,BO,-17.8,-63.1667,87.26,26,20,8.05,few clouds
328,Nizhnevartovsk,RU,60.9344,76.5531,50.02,81,0,2.24,clear sky
329,Aranos,NA,-24.1333,19.1167,73.06,16,7,12.66,clear sky
330,Valparaiso,CL,-33.0393,-71.6273,56.48,100,100,6.91,overcast clouds
331,Salalah,OM,17.0151,54.0924,80.69,89,75,5.75,broken clouds
332,Kuryk,KZ,43.2,51.65,73.72,38,92,6.91,overcast clouds
333,Vardo,NO,70.3705,31.1107,46.38,93,100,21.85,overcast clouds
334,Cherdyn,RU,60.403,56.4787,50.9,66,100,8.03,overcast clouds
335,Wana,PK,32.2989,69.5725,74.64,49,0,0.4,clear sky
336,Escanaba,US,45.7453,-87.0646,76.51,79,40,6.91,scattered clouds
337,Aksu,CN,41.1231,80.2644,69.98,28,0,3.4,clear sky
338,Shahr-E Kord,IR,32.3256,50.8644,66.83,22,0,5.48,clear sky
