City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Geraldton,AU,2022-09-13 18:04:27,-28.7667,114.6,61.21,67,100,10.36
149,Meulaboh,ID,2022-09-13 18:04:27,4.1363,96.1285,76.37,88,94,3.65
150,Laje,BR,2022-09-13 18:04:28,-10.1833,-40.9667,88.79,24,6,7.81
151,Reinosa,ES,2022-09-13 18:04:28,42.9996,-4.138,67.46,61,85,15.64
152,Pangody,RU,2022-09-13 18:04:28,65.85,74.4859,42.48,85,100,3.76
153,Washington,US,2022-09-13 18:04:29,47.5001,-120.5015,69.33,48,0,4.21
154,Kargopol,RU,2022-09-13 18:04:29,61.5071,38.9456,50.5,80,100,5.88
155,Sabha,LY,2022-09-13 18:04:29,27.0377,14.4283,92.17,17,1,9.15
156,Shelburne,CA,2022-09-13 18:02:13,44.0787,-80.2041,65.23,58,91,5.64
157,Altay,CN,2022-09-13 18:04:30,47.8667,88.1167,48.42,35,1,5.21
158,Conceicao Do Araguaia,BR,2022-09-13 18:01:43,-8.2578,-49.2647,103.86,15,38,8.14
159,Kohat,PK,2022-09-13 18:04:31,33.582,71.4493,75.27,59,76,2.8
160,Paamiut,GL,2022-09-13 18:04:31,61.994,-49.6678,42.58,80,52,10.09
161,Brae,GB,2022-09-13 18:04:32,60.3964,-1.353,53.53,81,96,12.19
162,Kuzhener,RU,2022-09-13 18:04:32,56.8111,48.9128,45.73,72,77,7.14
163,Sistranda,NO,2022-09-13 18:04:33,63.7256,8.834,55.36,94,100,20.96
164,Norden,DE,2022-09-13 18:04:33,53.6,7.2,62.94,71,87,12.37
165,Gobabis,NA,2022-09-13 18:04:33,-22.45,18.9667,69.57,13,0,10.56
166,Wukari,NG,2022-09-13 18:04:34,7.85,9.7833,69.35,96,100,4.7
167,Vila Do Maio,CV,2022-09-13 18:04:34,15.1333,-23.2167,79.27,82,100,10.47
168,Bela,IN,2022-09-13 18:04:35,25.9333,81.9833,78.31,90,89,12.41
169,Mogadishu,SO,2022-09-13 18:00:11,2.0371,45.3438,76.78,87,95,18.1
170,Sisimiut,GL,2022-09-13 18:04:35,66.9395,-53.6735,49.05,73,100,9.75
171,Grand Bank,CA,2022-09-13 17:59:59,47.0999,-55.765,71.6,72,69,9.04
172,Kayerkan,RU,2022-09-13 18:04:36,69.3497,87.7602,32.05,97,99,8.52
173,Lourdes,FR,2022-09-13 18:04:36,43.1,-0.05,78.28,41,0,2.3
174,Contamana,PE,2022-09-13 18:04:37,-7.3333,-75.0167,98.82,29,31,5.91
175,Sovetskiy,RU,2022-09-13 18:04:37,61.3614,63.5842,47.41,78,100,6.76
176,La Asuncion,VE,2022-09-13 18:04:37,11.0333,-63.8628,85.23,68,25,15.01
177,Castro,BR,2022-09-13 18:04:38,-24.7911,-50.0119,68.11,82,84,10.38
178,Yambio,SS,2022-09-13 18:05:38,4.5721,28.3955,69.94,92,93,3.09
179,Chapais,CA,2022-09-13 18:05:39,49.7834,-74.8492,60.58,81,100,1.79
180,Santa Rosa,PH,2022-09-13 18:03:39,14.3122,121.1114,83.1,89,87,6.33
181,Ureki,GE,2022-09-13 18:05:39,41.9956,41.7786,67.96,87,83,4.12
